Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_116_242,VSS,Metal1,123.6060,454.0600,0.000002
FILLER_116_235,VSS,Metal1,120.2460,454.0600,0.000001
FILLER_116_228,VSS,Metal1,116.8860,454.0600,0.000001
FILLER_116_221,VSS,Metal1,113.5260,454.0600,0.000001
FILLER_116_214,VSS,Metal1,110.1660,454.0600,0.000001
FILLER_116_207,VSS,Metal1,106.8060,454.0600,0.000001
FILLER_116_200,VSS,Metal1,103.4460,454.0600,0.000001
FILLER_116_193,VSS,Metal1,100.0860,454.0600,0.000001
FILLER_116_186,VSS,Metal1,96.7260,454.0600,0.000001
FILLER_116_179,VSS,Metal1,93.3660,454.0600,0.000001
FILLER_116_172,VSS,Metal1,90.0060,454.0600,0.000001
FILLER_116_165,VSS,Metal1,86.6460,454.0600,0.000001
FILLER_116_158,VSS,Metal1,83.2860,454.0600,0.000001
FILLER_116_151,VSS,Metal1,79.9260,454.0600,0.000001
FILLER_116_144,VSS,Metal1,76.5660,454.0600,0.000002
FILLER_116_133,VSS,Metal1,70.0800,453.6000,0.000002
FILLER_116_126,VSS,Metal1,67.9260,454.0600,0.000002
FILLER_116_119,VSS,Metal1,64.5660,454.0600,0.000002
FILLER_116_112,VSS,Metal1,61.2060,454.0600,0.000001
FILLER_116_105,VSS,Metal1,57.8460,454.0600,0.000001
FILLER_116_98,VSS,Metal1,54.4860,454.0600,0.000001
FILLER_116_91,VSS,Metal1,51.1260,454.0600,0.000001
FILLER_116_84,VSS,Metal1,47.7660,454.0600,0.000001
FILLER_116_77,VSS,Metal1,44.4060,454.0600,0.000000
FILLER_116_70,VSS,Metal1,41.0460,454.0600,0.000000
FILLER_116_63,VSS,Metal1,37.6860,454.0600,0.000000
FILLER_116_56,VSS,Metal1,34.3260,454.0600,0.000000
FILLER_116_49,VSS,Metal1,30.9660,454.0600,0.000000
FILLER_116_42,VSS,Metal1,27.6060,454.0600,0.000000
FILLER_116_35,VSS,Metal1,24.2460,454.0600,0.000000
FILLER_116_28,VSS,Metal1,20.8860,454.0600,0.000001
FILLER_116_21,VSS,Metal1,17.5260,454.0600,0.000001
FILLER_116_14,VSS,Metal1,14.1660,454.0600,0.000001
FILLER_116_7,VSS,Metal1,10.8060,454.0600,0.000001
FILLER_116_0,VSS,Metal1,7.4460,454.0600,0.000001
FILLER_115_922,VSS,Metal1,449.2680,453.2230,0.000001
FILLER_115_915,VSS,Metal1,446.6460,453.1390,0.000001
FILLER_115_908,VSS,Metal1,443.2860,453.1390,0.000001
FILLER_115_901,VSS,Metal1,439.9260,453.1390,0.000001
FILLER_115_890,VSS,Metal1,433.4400,453.6000,0.000001
FILLER_115_877,VSS,Metal1,427.6680,453.2230,0.000001
FILLER_115_870,VSS,Metal1,425.0460,453.1390,0.000001
FILLER_115_863,VSS,Metal1,421.6860,453.1390,0.000001
FILLER_115_856,VSS,Metal1,418.3260,453.1390,0.000001
FILLER_115_849,VSS,Metal1,414.9660,453.1390,0.000001
FILLER_115_842,VSS,Metal1,411.6060,453.1390,0.000001
FILLER_115_835,VSS,Metal1,408.2460,453.1390,0.000001
FILLER_115_825,VSS,Metal1,402.2400,453.6000,0.000001
FILLER_115_818,VSS,Metal1,400.0860,453.1390,0.000005
FILLER_115_811,VSS,Metal1,396.7260,453.1390,0.000008
FILLER_115_804,VSS,Metal1,393.3660,453.1390,0.000012
FILLER_115_797,VSS,Metal1,390.0060,453.1390,0.000015
FILLER_115_790,VSS,Metal1,386.6460,453.1390,0.000018
FILLER_115_772,VSS,Metal1,377.2680,453.2230,0.000024
FILLER_115_765,VSS,Metal1,373.4400,453.6000,0.000025
FILLER_115_761,VSS,Metal1,371.9880,453.2230,0.000025
FILLER_115_754,VSS,Metal1,369.3660,453.1390,0.000026
FILLER_115_747,VSS,Metal1,366.0060,453.1390,0.000026
FILLER_115_740,VSS,Metal1,362.6460,453.1390,0.000026
FILLER_115_733,VSS,Metal1,359.2860,453.1390,0.000026
FILLER_115_691,VSS,Metal1,337.9200,453.6000,0.000021
FILLER_115_687,VSS,Metal1,336.4680,453.2230,0.000007
FILLER_115_680,VSS,Metal1,333.8460,453.1390,0.000007
FILLER_115_673,VSS,Metal1,330.4860,453.1390,0.000007
FILLER_115_662,VSS,Metal1,324.0000,453.6000,0.000004
FILLER_115_655,VSS,Metal1,321.8460,453.1390,0.000004
FILLER_115_648,VSS,Metal1,318.4860,453.1390,0.000004
FILLER_115_641,VSS,Metal1,315.1260,453.1390,0.000004
FILLER_115_630,VSS,Metal1,308.6400,453.6000,0.000005
FILLER_115_619,VSS,Metal1,303.3600,453.6000,0.000005
FILLER_115_612,VSS,Metal1,301.2060,453.1390,0.000005
FILLER_115_605,VSS,Metal1,297.8460,453.1390,0.000005
FILLER_115_598,VSS,Metal1,294.4860,453.1390,0.000005
FILLER_115_591,VSS,Metal1,291.1260,453.1390,0.000005
FILLER_115_584,VSS,Metal1,287.7660,453.1390,0.000005
FILLER_115_577,VSS,Metal1,284.4060,453.1390,0.000005
FILLER_115_565,VSS,Metal1,277.9080,453.2230,0.000004
FILLER_115_558,VSS,Metal1,275.2860,453.1390,0.000001
FILLER_115_551,VSS,Metal1,271.9260,453.1390,0.000001
FILLER_115_544,VSS,Metal1,268.5660,453.1390,0.000001
FILLER_115_537,VSS,Metal1,265.2060,453.1390,0.000001
FILLER_115_530,VSS,Metal1,261.8460,453.1390,0.000001
FILLER_115_523,VSS,Metal1,258.4860,453.1390,0.000001
FILLER_115_516,VSS,Metal1,255.1260,453.1390,0.000001
FILLER_115_509,VSS,Metal1,251.7660,453.1390,0.000001
FILLER_115_502,VSS,Metal1,248.4060,453.1390,0.000001
FILLER_115_495,VSS,Metal1,245.0460,453.1390,0.000001
FILLER_115_488,VSS,Metal1,241.6860,453.1390,0.000001
FILLER_115_481,VSS,Metal1,238.3260,453.1390,0.000001
FILLER_115_474,VSS,Metal1,234.9660,453.1390,0.000002
FILLER_115_467,VSS,Metal1,231.6060,453.1390,0.000002
FILLER_115_454,VSS,Metal1,223.9200,453.6000,0.000017
FILLER_115_447,VSS,Metal1,222.0060,453.1390,0.000017
FILLER_115_436,VSS,Metal1,215.5200,453.6000,0.000017
FILLER_115_432,VSS,Metal1,214.0680,453.2230,0.000021
FILLER_115_422,VSS,Metal1,208.5600,453.6000,0.000021
FILLER_115_420,VSS,Metal1,207.8400,453.6000,0.000021
FILLER_115_411,VSS,Metal1,203.9880,453.2230,0.000025
FILLER_115_404,VSS,Metal1,201.3660,453.1390,0.000025
FILLER_115_399,VSS,Metal1,197.5200,453.6000,0.000024
FILLER_115_392,VSS,Metal1,195.6060,453.1390,0.000024
FILLER_115_385,VSS,Metal1,192.2460,453.1390,0.000024
FILLER_115_378,VSS,Metal1,188.8860,453.1390,0.000024
FILLER_115_371,VSS,Metal1,185.5260,453.1390,0.000024
FILLER_115_358,VSS,Metal1,178.5480,453.2230,0.000023
FILLER_115_335,VSS,Metal1,166.8000,453.6000,0.000003
FILLER_115_331,VSS,Metal1,165.5880,453.2230,0.000003
FILLER_115_324,VSS,Metal1,162.9660,453.1390,0.000002
FILLER_115_317,VSS,Metal1,159.6060,453.1390,0.000002
FILLER_115_310,VSS,Metal1,156.2460,453.1390,0.000002
FILLER_115_303,VSS,Metal1,152.8860,453.1390,0.000002
FILLER_115_296,VSS,Metal1,149.5260,453.1390,0.000002
FILLER_115_292,VSS,Metal1,146.1600,453.6000,0.000002
FILLER_115_285,VSS,Metal1,144.2460,453.1390,0.000002
FILLER_115_278,VSS,Metal1,140.8860,453.1390,0.000002
FILLER_115_271,VSS,Metal1,137.5260,453.1390,0.000002
FILLER_115_264,VSS,Metal1,134.1660,453.1390,0.000002
FILLER_115_257,VSS,Metal1,130.8060,453.1390,0.000002
FILLER_115_250,VSS,Metal1,127.4460,453.1390,0.000002
FILLER_115_232,VSS,Metal1,117.6000,453.6000,0.000001
FILLER_115_225,VSS,Metal1,115.4460,453.1390,0.000001
FILLER_115_218,VSS,Metal1,112.0860,453.1390,0.000001
FILLER_115_211,VSS,Metal1,108.7260,453.1390,0.000001
FILLER_115_204,VSS,Metal1,105.3660,453.1390,0.000001
FILLER_115_197,VSS,Metal1,102.0060,453.1390,0.000001
FILLER_115_190,VSS,Metal1,98.6460,453.1390,0.000001
FILLER_115_185,VSS,Metal1,94.8000,453.6000,0.000001
FILLER_115_178,VSS,Metal1,92.8860,453.1390,0.000001
FILLER_115_171,VSS,Metal1,89.5260,453.1390,0.000001
FILLER_115_164,VSS,Metal1,86.1660,453.1390,0.000001
FILLER_115_157,VSS,Metal1,82.8060,453.1390,0.000001
FILLER_115_150,VSS,Metal1,79.4460,453.1390,0.000001
FILLER_115_144,VSS,Metal1,75.1200,453.6000,0.000002
FILLER_115_117,VSS,Metal1,62.1600,453.6000,0.000001
FILLER_115_110,VSS,Metal1,60.2460,453.1390,0.000001
FILLER_115_103,VSS,Metal1,56.8860,453.1390,0.000001
FILLER_115_96,VSS,Metal1,53.5260,453.1390,0.000001
FILLER_115_89,VSS,Metal1,50.1660,453.1390,0.000001
FILLER_115_80,VSS,Metal1,45.1080,453.2230,0.000000
FILLER_115_73,VSS,Metal1,42.4860,453.1390,0.000000
FILLER_115_66,VSS,Metal1,39.1260,453.1390,0.000000
FILLER_115_59,VSS,Metal1,35.7660,453.1390,0.000000
FILLER_115_52,VSS,Metal1,32.4060,453.1390,0.000000
FILLER_115_45,VSS,Metal1,29.0460,453.1390,0.000000
FILLER_115_38,VSS,Metal1,25.6860,453.1390,0.000000
FILLER_115_28,VSS,Metal1,19.6800,453.6000,0.000001
FILLER_115_21,VSS,Metal1,17.5260,453.1390,0.000001
FILLER_115_14,VSS,Metal1,14.1660,453.1390,0.000001
FILLER_115_7,VSS,Metal1,10.8060,453.1390,0.000001
FILLER_115_0,VSS,Metal1,7.4460,453.1390,0.000001
FILLER_114_924,VSS,Metal1,449.7600,446.0400,0.000025
FILLER_114_920,VSS,Metal1,448.3080,446.4160,0.000025
FILLER_114_913,VSS,Metal1,445.6860,446.5000,0.000025
FILLER_114_906,VSS,Metal1,442.3260,446.5000,0.000025
FILLER_114_877,VSS,Metal1,427.2000,446.0400,0.000022
FILLER_114_870,VSS,Metal1,425.0460,446.5000,0.000015
FILLER_114_863,VSS,Metal1,421.6860,446.5000,0.000015
FILLER_114_856,VSS,Metal1,418.3260,446.5000,0.000015
FILLER_114_849,VSS,Metal1,414.9660,446.5000,0.000014
FILLER_114_815,VSS,Metal1,398.6460,446.5000,0.000023
FILLER_114_808,VSS,Metal1,395.2860,446.5000,0.000023
FILLER_114_768,VSS,Metal1,374.6400,446.0400,0.000047
FILLER_114_766,VSS,Metal1,373.9200,446.0400,0.000047
FILLER_114_756,VSS,Metal1,368.8800,446.0400,0.000047
FILLER_114_749,VSS,Metal1,366.9660,446.5000,0.000047
FILLER_114_742,VSS,Metal1,363.6060,446.5000,0.000048
FILLER_114_735,VSS,Metal1,360.2460,446.5000,0.000048
FILLER_114_728,VSS,Metal1,356.8860,446.5000,0.000048
FILLER_114_687,VSS,Metal1,335.7600,446.0400,0.000040
FILLER_114_680,VSS,Metal1,333.8460,446.5000,0.000010
FILLER_114_673,VSS,Metal1,330.4860,446.5000,0.000010
FILLER_114_669,VSS,Metal1,327.1200,446.0400,0.000010
FILLER_114_606,VSS,Metal1,296.8800,446.0400,0.000023
FILLER_114_602,VSS,Metal1,295.6680,446.4160,0.000023
FILLER_114_591,VSS,Metal1,289.9200,446.0400,0.000026
FILLER_114_563,VSS,Metal1,276.2400,446.0400,0.000024
FILLER_114_561,VSS,Metal1,275.5200,446.0400,0.000024
FILLER_114_554,VSS,Metal1,273.3660,446.5000,0.000019
FILLER_114_547,VSS,Metal1,270.0060,446.5000,0.000015
FILLER_114_491,VSS,Metal1,241.9200,446.0400,0.000015
FILLER_114_487,VSS,Metal1,240.4680,446.4160,0.000015
FILLER_114_480,VSS,Metal1,237.8460,446.5000,0.000020
FILLER_114_418,VSS,Metal1,207.3480,446.4160,0.000023
FILLER_114_408,VSS,Metal1,201.8400,446.0400,0.000023
FILLER_114_403,VSS,Metal1,199.4400,446.0400,0.000023
FILLER_114_401,VSS,Metal1,198.7200,446.0400,0.000018
FILLER_114_395,VSS,Metal1,195.6000,446.0400,0.000017
FILLER_114_393,VSS,Metal1,194.8800,446.0400,0.000017
FILLER_114_386,VSS,Metal1,192.7260,446.5000,0.000013
FILLER_114_379,VSS,Metal1,189.3660,446.5000,0.000012
FILLER_114_366,VSS,Metal1,182.3880,446.4160,0.000012
FILLER_114_334,VSS,Metal1,166.3200,446.0400,0.000008
FILLER_114_330,VSS,Metal1,165.1080,446.4160,0.000008
FILLER_114_323,VSS,Metal1,162.4860,446.5000,0.000025
FILLER_114_316,VSS,Metal1,159.1260,446.5000,0.000027
FILLER_114_309,VSS,Metal1,155.7660,446.5000,0.000027
FILLER_114_299,VSS,Metal1,149.5200,446.0400,0.000028
FILLER_114_281,VSS,Metal1,140.8800,446.0400,0.000027
FILLER_114_279,VSS,Metal1,140.1600,446.0400,0.000027
FILLER_114_268,VSS,Metal1,136.0860,446.5000,0.000027
FILLER_114_261,VSS,Metal1,132.7260,446.5000,0.000026
FILLER_114_251,VSS,Metal1,126.4800,446.0400,0.000026
FILLER_114_249,VSS,Metal1,125.7600,446.0400,0.000026
FILLER_114_223,VSS,Metal1,113.7480,446.4160,0.000008
FILLER_114_216,VSS,Metal1,111.1260,446.5000,0.000007
FILLER_114_209,VSS,Metal1,107.7660,446.5000,0.000006
FILLER_114_180,VSS,Metal1,92.6400,446.0400,0.000006
FILLER_114_176,VSS,Metal1,91.1880,446.4160,0.000011
FILLER_114_169,VSS,Metal1,88.5660,446.5000,0.000013
FILLER_114_162,VSS,Metal1,85.2060,446.5000,0.000017
FILLER_114_155,VSS,Metal1,81.8460,446.5000,0.000021
FILLER_114_145,VSS,Metal1,75.6000,446.0400,0.000022
FILLER_114_117,VSS,Metal1,62.1600,446.0400,0.000021
FILLER_114_110,VSS,Metal1,60.2460,446.5000,0.000021
FILLER_114_103,VSS,Metal1,56.8860,446.5000,0.000018
FILLER_114_96,VSS,Metal1,53.5260,446.5000,0.000015
FILLER_114_57,VSS,Metal1,34.8060,446.5000,0.000008
FILLER_114_50,VSS,Metal1,31.4460,446.5000,0.000006
FILLER_114_43,VSS,Metal1,28.0860,446.5000,0.000003
FILLER_114_36,VSS,Metal1,24.7260,446.5000,0.000003
FILLER_114_27,VSS,Metal1,18.9600,446.0400,0.000003
FILLER_114_25,VSS,Metal1,18.2400,446.0400,0.000003
FILLER_114_18,VSS,Metal1,16.0860,446.5000,0.000003
FILLER_114_11,VSS,Metal1,12.7260,446.5000,0.000003
FILLER_114_4,VSS,Metal1,9.3660,446.5000,0.000003
FILLER_113_924,VSS,Metal1,449.7600,446.0400,0.000025
FILLER_113_920,VSS,Metal1,448.3080,445.6630,0.000025
FILLER_113_913,VSS,Metal1,445.6860,445.5790,0.000025
FILLER_113_867,VSS,Metal1,422.1600,446.0400,0.000015
FILLER_113_865,VSS,Metal1,421.4400,446.0400,0.000015
FILLER_113_858,VSS,Metal1,419.2860,445.5790,0.000015
FILLER_113_811,VSS,Metal1,395.5200,446.0400,0.000023
FILLER_113_807,VSS,Metal1,394.0680,445.6630,0.000023
FILLER_113_749,VSS,Metal1,366.2280,445.6630,0.000047
FILLER_113_738,VSS,Metal1,361.6860,445.5790,0.000048
FILLER_113_731,VSS,Metal1,358.3260,445.5790,0.000048
FILLER_113_687,VSS,Metal1,335.7600,446.0400,0.000040
FILLER_113_683,VSS,Metal1,334.5480,445.6630,0.000010
FILLER_113_676,VSS,Metal1,331.9260,445.5790,0.000010
FILLER_113_669,VSS,Metal1,328.5660,445.5790,0.000010
FILLER_113_659,VSS,Metal1,322.3200,446.0400,0.000013
FILLER_113_652,VSS,Metal1,320.4060,445.5790,0.000019
FILLER_113_645,VSS,Metal1,317.0460,445.5790,0.000019
FILLER_113_638,VSS,Metal1,313.6860,445.5790,0.000019
FILLER_113_627,VSS,Metal1,307.2000,446.0400,0.000021
FILLER_113_618,VSS,Metal1,302.6400,446.0400,0.000021
FILLER_113_616,VSS,Metal1,301.9200,446.0400,0.000021
FILLER_113_611,VSS,Metal1,299.2800,446.0400,0.000021
FILLER_113_607,VSS,Metal1,298.0680,445.6630,0.000021
FILLER_113_594,VSS,Metal1,291.1200,446.0400,0.000026
FILLER_113_565,VSS,Metal1,277.4400,446.0400,0.000024
FILLER_113_558,VSS,Metal1,274.0800,446.0400,0.000019
FILLER_113_554,VSS,Metal1,272.6280,445.6630,0.000019
FILLER_113_547,VSS,Metal1,270.0060,445.5790,0.000015
FILLER_113_540,VSS,Metal1,266.6460,445.5790,0.000014
FILLER_113_533,VSS,Metal1,263.2860,445.5790,0.000014
FILLER_113_526,VSS,Metal1,259.9260,445.5790,0.000014
FILLER_113_519,VSS,Metal1,256.5660,445.5790,0.000014
FILLER_113_505,VSS,Metal1,248.4000,446.0400,0.000013
FILLER_113_503,VSS,Metal1,247.6800,446.0400,0.000013
FILLER_113_488,VSS,Metal1,240.2400,446.0400,0.000015
FILLER_113_481,VSS,Metal1,238.3260,445.5790,0.000020
FILLER_113_439,VSS,Metal1,216.9600,446.0400,0.000023
FILLER_113_432,VSS,Metal1,214.8060,445.5790,0.000023
FILLER_113_390,VSS,Metal1,193.4400,446.0400,0.000013
FILLER_113_383,VSS,Metal1,191.2860,445.5790,0.000012
FILLER_113_376,VSS,Metal1,187.9260,445.5790,0.000012
FILLER_113_324,VSS,Metal1,161.7600,446.0400,0.000025
FILLER_113_320,VSS,Metal1,160.3080,445.6630,0.000027
FILLER_113_269,VSS,Metal1,135.1200,446.0400,0.000027
FILLER_113_267,VSS,Metal1,134.4000,446.0400,0.000027
FILLER_113_227,VSS,Metal1,114.9600,446.0400,0.000008
FILLER_113_223,VSS,Metal1,113.7480,445.6630,0.000008
FILLER_113_216,VSS,Metal1,111.1260,445.5790,0.000007
FILLER_113_175,VSS,Metal1,90.0000,446.0400,0.000013
FILLER_113_168,VSS,Metal1,88.0860,445.5790,0.000013
FILLER_113_161,VSS,Metal1,84.7260,445.5790,0.000017
FILLER_113_154,VSS,Metal1,81.3660,445.5790,0.000021
FILLER_113_108,VSS,Metal1,58.0800,446.0400,0.000018
FILLER_113_104,VSS,Metal1,56.6280,445.6630,0.000018
FILLER_113_21,VSS,Metal1,16.3200,446.0400,0.000003
FILLER_113_14,VSS,Metal1,14.1660,445.5790,0.000003
FILLER_113_7,VSS,Metal1,10.8060,445.5790,0.000003
FILLER_113_0,VSS,Metal1,7.4460,445.5790,0.000003
FILLER_112_919,VSS,Metal1,448.5660,438.9400,0.000046
FILLER_112_912,VSS,Metal1,445.2060,438.9400,0.000046
FILLER_112_893,VSS,Metal1,434.6400,438.4800,0.000046
FILLER_112_891,VSS,Metal1,433.9200,438.4800,0.000046
FILLER_112_872,VSS,Metal1,424.5600,438.4800,0.000036
FILLER_112_868,VSS,Metal1,423.3480,438.8560,0.000026
FILLER_112_861,VSS,Metal1,420.7260,438.9400,0.000023
FILLER_112_854,VSS,Metal1,417.3660,438.9400,0.000013
FILLER_112_847,VSS,Metal1,414.0060,438.9400,0.000013
FILLER_112_805,VSS,Metal1,393.8460,438.9400,0.000028
FILLER_112_798,VSS,Metal1,390.4860,438.9400,0.000028
FILLER_112_767,VSS,Metal1,374.1600,438.4800,0.000050
FILLER_112_682,VSS,Metal1,334.0680,438.8560,0.000016
FILLER_112_675,VSS,Metal1,331.4460,438.9400,0.000012
FILLER_112_655,VSS,Metal1,320.6400,438.4800,0.000011
FILLER_112_648,VSS,Metal1,318.4860,438.9400,0.000015
FILLER_112_641,VSS,Metal1,315.1260,438.9400,0.000015
FILLER_112_634,VSS,Metal1,311.7660,438.9400,0.000015
FILLER_112_601,VSS,Metal1,294.4800,438.4800,0.000022
FILLER_112_594,VSS,Metal1,292.5660,438.9400,0.000024
FILLER_112_587,VSS,Metal1,288.0000,438.4800,0.000032
FILLER_112_580,VSS,Metal1,285.8460,438.9400,0.000032
FILLER_112_573,VSS,Metal1,282.4860,438.9400,0.000032
FILLER_112_562,VSS,Metal1,276.0000,438.4800,0.000036
FILLER_112_558,VSS,Metal1,274.5480,438.8560,0.000036
FILLER_112_545,VSS,Metal1,267.6000,438.4800,0.000035
FILLER_112_541,VSS,Metal1,266.3880,438.8560,0.000035
FILLER_112_530,VSS,Metal1,260.6400,438.4800,0.000032
FILLER_112_523,VSS,Metal1,258.4860,438.9400,0.000032
FILLER_112_508,VSS,Metal1,249.8400,438.4800,0.000006
FILLER_112_506,VSS,Metal1,249.1200,438.4800,0.000006
FILLER_112_499,VSS,Metal1,246.9660,438.9400,0.000007
FILLER_112_490,VSS,Metal1,241.9080,438.8560,0.000007
FILLER_112_483,VSS,Metal1,239.2860,438.9400,0.000015
FILLER_112_473,VSS,Metal1,233.2800,438.4800,0.000021
FILLER_112_466,VSS,Metal1,231.1260,438.9400,0.000021
FILLER_112_460,VSS,Metal1,226.8000,438.4800,0.000024
FILLER_112_441,VSS,Metal1,217.6800,438.4800,0.000028
FILLER_112_434,VSS,Metal1,215.7660,438.9400,0.000028
FILLER_112_427,VSS,Metal1,212.4060,438.9400,0.000028
FILLER_112_416,VSS,Metal1,205.9200,438.4800,0.000029
FILLER_112_383,VSS,Metal1,190.0800,438.4800,0.000026
